# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC  103.38720  -20.22427        HIP_33092 0. 0.2 0. 360.
SEGMENT EX RADEC  103.42612   68.88837        HIP_33104 0. 0.2 0. 360.
SEGMENT EX RADEC  104.03436  -17.05426        HIP_33347 0. 0.2 0. 360.
SEGMENT EX RADEC  104.40470   45.09413        HIP_33485 0. 0.2 0. 360.
SEGMENT EX RADEC  104.60465  -34.11174        HIP_33558 0. 0.2 0. 360.
SEGMENT EX RADEC  105.72833   -4.23923        HIP_33971 0. 0.2 0. 360.
SEGMENT EX RADEC   10.83850  -57.46311         HIP_3405 0. 0.2 0. 360.
SEGMENT EX RADEC  106.02731   20.57031        HIP_34088 0. 0.2 0. 360.
SEGMENT EX RADEC  107.18703  -70.49899        HIP_34481 0. 0.2 0. 360.
SEGMENT EX RADEC  107.21287  -39.65569        HIP_34495 0. 0.2 0. 360.
SEGMENT EX RADEC  107.96618   -0.49276        HIP_34769 0. 0.2 0. 360.
SEGMENT EX RADEC  108.14020  -46.75934        HIP_34834 0. 0.2 0. 360.
SEGMENT EX RADEC  108.30572  -45.18278        HIP_34899 0. 0.2 0. 360.
SEGMENT EX RADEC  108.56348  -26.35253        HIP_34981 0. 0.2 0. 360.
SEGMENT EX RADEC  108.65901  -48.27197        HIP_35020 0. 0.2 0. 360.
SEGMENT EX RADEC   11.18133   48.28440         HIP_3504 0. 0.2 0. 360.
SEGMENT EX RADEC  109.20596  -36.59266        HIP_35226 0. 0.2 0. 360.
SEGMENT EX RADEC  109.20769  -67.95721        HIP_35228 0. 0.2 0. 360.
SEGMENT EX RADEC  109.28574  -37.09750        HIP_35264 0. 0.2 0. 360.
SEGMENT EX RADEC  109.57673  -36.73399        HIP_35363 0. 0.2 0. 360.
SEGMENT EX RADEC  109.65920  -36.74277        HIP_35406 0. 0.2 0. 360.
SEGMENT EX RADEC  109.66834  -24.55872        HIP_35412 0. 0.2 0. 360.
SEGMENT EX RADEC  109.67712  -24.95440        HIP_35415 0. 0.2 0. 360.
SEGMENT EX RADEC  110.55646  -19.01662        HIP_35727 0. 0.2 0. 360.
SEGMENT EX RADEC  111.43174   27.79810        HIP_36046 0. 0.2 0. 360.
SEGMENT EX RADEC  111.67864   49.21157        HIP_36145 0. 0.2 0. 360.
SEGMENT EX RADEC  112.27809   31.78458        HIP_36366 0. 0.2 0. 360.
SEGMENT EX RADEC  112.30772  -43.30147        HIP_36377 0. 0.2 0. 360.
SEGMENT EX RADEC  113.51335  -22.29609        HIP_36795 0. 0.2 0. 360.
SEGMENT EX RADEC  113.84548  -28.36935        HIP_36917 0. 0.2 0. 360.
SEGMENT EX RADEC  114.34222  -34.96856        HIP_37096 0. 0.2 0. 360.
SEGMENT EX RADEC  114.57529  -25.36483        HIP_37173 0. 0.2 0. 360.
SEGMENT EX RADEC  114.86401  -38.30805        HIP_37297 0. 0.2 0. 360.
SEGMENT EX RADEC  115.31190   -9.55114        HIP_37447 0. 0.2 0. 360.
SEGMENT EX RADEC  115.45535  -72.60616        HIP_37504 0. 0.2 0. 360.
SEGMENT EX RADEC  115.95205  -28.95485        HIP_37677 0. 0.2 0. 360.
SEGMENT EX RADEC  116.11199   24.39801        HIP_37740 0. 0.2 0. 360.
SEGMENT EX RADEC   12.20843   50.96821         HIP_3801 0. 0.2 0. 360.
SEGMENT EX RADEC  116.85423  -38.51118        HIP_38010 0. 0.2 0. 360.
SEGMENT EX RADEC  117.02163  -25.93719        HIP_38070 0. 0.2 0. 360.
SEGMENT EX RADEC  117.32366  -24.85981        HIP_38170 0. 0.2 0. 360.
SEGMENT EX RADEC   12.27622   57.81524         HIP_3821 0. 0.2 0. 360.
SEGMENT EX RADEC  118.05441  -40.57582        HIP_38414 0. 0.2 0. 360.
SEGMENT EX RADEC  118.16113  -38.86285        HIP_38455 0. 0.2 0. 360.
SEGMENT EX RADEC  118.26524  -49.61309        HIP_38500 0. 0.2 0. 360.
SEGMENT EX RADEC  118.32576  -48.10297        HIP_38518 0. 0.2 0. 360.
SEGMENT EX RADEC   12.45354   41.07895         HIP_3881 0. 0.2 0. 360.
SEGMENT EX RADEC  119.21485  -22.88014        HIP_38835 0. 0.2 0. 360.
SEGMENT EX RADEC  119.32686  -44.10990        HIP_38872 0. 0.2 0. 360.
SEGMENT EX RADEC  119.41721  -30.33460        HIP_38901 0. 0.2 0. 360.
SEGMENT EX RADEC  119.56026  -49.24495        HIP_38957 0. 0.2 0. 360.
SEGMENT EX RADEC  119.96698  -18.39924        HIP_39095 0. 0.2 0. 360.
SEGMENT EX RADEC  120.08330  -63.56751        HIP_39138 0. 0.2 0. 360.
SEGMENT EX RADEC  121.98257  -68.61712        HIP_39794 0. 0.2 0. 360.
SEGMENT EX RADEC  122.11447   51.50671        HIP_39847 0. 0.2 0. 360.
SEGMENT EX RADEC  122.25693  -19.24503        HIP_39906 0. 0.2 0. 360.
SEGMENT EX RADEC  122.85799  -42.98731        HIP_40096 0. 0.2 0. 360.
SEGMENT EX RADEC  123.37309  -35.89955        HIP_40274 0. 0.2 0. 360.
SEGMENT EX RADEC  123.49307  -36.32231        HIP_40321 0. 0.2 0. 360.
SEGMENT EX RADEC  124.63156  -76.91979        HIP_40702 0. 0.2 0. 360.
SEGMENT EX RADEC  124.63891  -36.65932        HIP_40706 0. 0.2 0. 360.
SEGMENT EX RADEC  125.33779  -36.48421        HIP_40943 0. 0.2 0. 360.
SEGMENT EX RADEC  125.63216  -48.49042        HIP_41039 0. 0.2 0. 360.
SEGMENT EX RADEC  126.43425  -66.13695        HIP_41312 0. 0.2 0. 360.
SEGMENT EX RADEC  127.36462  -44.72485        HIP_41639 0. 0.2 0. 360.
SEGMENT EX RADEC  127.56623   60.71822        HIP_41704 0. 0.2 0. 360.
SEGMENT EX RADEC  129.41108  -42.98912        HIP_42312 0. 0.2 0. 360.
SEGMENT EX RADEC  129.41414    5.70379        HIP_42313 0. 0.2 0. 360.
SEGMENT EX RADEC  130.02571  -35.30838        HIP_42515 0. 0.2 0. 360.
SEGMENT EX RADEC  130.15439  -59.76105        HIP_42568 0. 0.2 0. 360.
SEGMENT EX RADEC  130.15665  -46.64878        HIP_42570 0. 0.2 0. 360.
SEGMENT EX RADEC  130.30482  -47.31716        HIP_42624 0. 0.2 0. 360.
SEGMENT EX RADEC  130.60589  -53.11403        HIP_42726 0. 0.2 0. 360.
SEGMENT EX RADEC  130.80626    3.39867        HIP_42799 0. 0.2 0. 360.
SEGMENT EX RADEC  130.82155   21.46852        HIP_42806 0. 0.2 0. 360.
SEGMENT EX RADEC  130.91791  -49.82284        HIP_42834 0. 0.2 0. 360.
SEGMENT EX RADEC  131.09989  -42.64931        HIP_42884 0. 0.2 0. 360.
SEGMENT EX RADEC  131.67740  -56.76982        HIP_43105 0. 0.2 0. 360.
SEGMENT EX RADEC  131.69391    6.41881        HIP_43109 0. 0.2 0. 360.
SEGMENT EX RADEC  132.10832    5.83782        HIP_43234 0. 0.2 0. 360.
SEGMENT EX RADEC  132.44860  -45.30791        HIP_43347 0. 0.2 0. 360.
SEGMENT EX RADEC  132.63953  -46.52923        HIP_43413 0. 0.2 0. 360.
SEGMENT EX RADEC  133.84856    5.94557        HIP_43813 0. 0.2 0. 360.
SEGMENT EX RADEC  134.08037  -52.72352        HIP_43878 0. 0.2 0. 360.
SEGMENT EX RADEC  134.24352  -59.22939        HIP_43937 0. 0.2 0. 360.
SEGMENT EX RADEC  134.62187   11.85771        HIP_44066 0. 0.2 0. 360.
SEGMENT EX RADEC  135.15999   41.78295        HIP_44248 0. 0.2 0. 360.
SEGMENT EX RADEC  135.61176  -66.39613        HIP_44382 0. 0.2 0. 360.
SEGMENT EX RADEC  136.03878  -47.09778        HIP_44511 0. 0.2 0. 360.
SEGMENT EX RADEC  136.41001  -70.53856        HIP_44626 0. 0.2 0. 360.
SEGMENT EX RADEC  137.21785   51.60469        HIP_44901 0. 0.2 0. 360.
SEGMENT EX RADEC  139.04732   54.02190        HIP_45493 0. 0.2 0. 360.
SEGMENT EX RADEC   14.65152  -29.35747         HIP_4577 0. 0.2 0. 360.
SEGMENT EX RADEC  140.26387   34.39259        HIP_45860 0. 0.2 0. 360.
SEGMENT EX RADEC  141.57494  -53.37895        HIP_46283 0. 0.2 0. 360.
SEGMENT EX RADEC  142.80562  -57.03442        HIP_46701 0. 0.2 0. 360.
SEGMENT EX RADEC  142.88224   63.06191        HIP_46733 0. 0.2 0. 360.
SEGMENT EX RADEC  142.99565   -1.18466        HIP_46776 0. 0.2 0. 360.
SEGMENT EX RADEC  143.47253  -80.94133        HIP_46928 0. 0.2 0. 360.
SEGMENT EX RADEC  143.53676  -51.25531        HIP_46950 0. 0.2 0. 360.
SEGMENT EX RADEC  143.61116  -59.22980        HIP_46974 0. 0.2 0. 360.
SEGMENT EX RADEC  143.70609   52.05152        HIP_47006 0. 0.2 0. 360.
SEGMENT EX RADEC  144.20654  -49.35507        HIP_47175 0. 0.2 0. 360.
SEGMENT EX RADEC  144.83762  -61.32811        HIP_47391 0. 0.2 0. 360.
SEGMENT EX RADEC  145.07664  -14.33230        HIP_47452 0. 0.2 0. 360.
SEGMENT EX RADEC  145.28776    9.89232        HIP_47508 0. 0.2 0. 360.
SEGMENT EX RADEC  145.32099  -23.59153        HIP_47522 0. 0.2 0. 360.
SEGMENT EX RADEC  146.31184  -62.50796        HIP_47854 0. 0.2 0. 360.
SEGMENT EX RADEC  147.48821  -45.73277        HIP_48224 0. 0.2 0. 360.
SEGMENT EX RADEC  147.74745   59.03879        HIP_48319 0. 0.2 0. 360.
SEGMENT EX RADEC  148.02661   54.06438        HIP_48402 0. 0.2 0. 360.
SEGMENT EX RADEC  151.28125  -13.06464        HIP_49402 0. 0.2 0. 360.
SEGMENT EX RADEC  151.85747   35.24472        HIP_49593 0. 0.2 0. 360.
SEGMENT EX RADEC  151.98463   -0.37164        HIP_49641 0. 0.2 0. 360.
SEGMENT EX RADEC  152.23446  -51.81130        HIP_49712 0. 0.2 0. 360.
SEGMENT EX RADEC  152.64712  -12.35409        HIP_49841 0. 0.2 0. 360.
SEGMENT EX RADEC  154.27086  -61.33236        HIP_50371 0. 0.2 0. 360.
SEGMENT EX RADEC  155.22845  -56.04327        HIP_50676 0. 0.2 0. 360.
SEGMENT EX RADEC  155.58238   41.49955        HIP_50801 0. 0.2 0. 360.
SEGMENT EX RADEC  155.74240  -66.90155        HIP_50847 0. 0.2 0. 360.
SEGMENT EX RADEC  156.03282   65.56648        HIP_50933 0. 0.2 0. 360.
SEGMENT EX RADEC  156.09891  -74.03167        HIP_50954 0. 0.2 0. 360.
SEGMENT EX RADEC  156.47853   33.79615        HIP_51056 0. 0.2 0. 360.
SEGMENT EX RADEC  156.96984  -58.73945        HIP_51232 0. 0.2 0. 360.
SEGMENT EX RADEC  157.57296   -0.63703        HIP_51437 0. 0.2 0. 360.
SEGMENT EX RADEC  157.58400  -71.99285        HIP_51438 0. 0.2 0. 360.
SEGMENT EX RADEC   16.52104  -46.71845         HIP_5165 0. 0.2 0. 360.
SEGMENT EX RADEC  158.30800   40.42559        HIP_51658 0. 0.2 0. 360.
SEGMENT EX RADEC  159.32572  -48.22566        HIP_51986 0. 0.2 0. 360.
SEGMENT EX RADEC  160.55897  -64.46648        HIP_52370 0. 0.2 0. 360.
SEGMENT EX RADEC  161.02895  -63.96113        HIP_52502 0. 0.2 0. 360.
SEGMENT EX RADEC  161.44598  -80.54026        HIP_52633 0. 0.2 0. 360.
SEGMENT EX RADEC  161.71355  -64.38353        HIP_52736 0. 0.2 0. 360.
SEGMENT EX RADEC  162.40634  -16.19366        HIP_52943 0. 0.2 0. 360.
SEGMENT EX RADEC  163.32808   34.21490        HIP_53229 0. 0.2 0. 360.
SEGMENT EX RADEC  163.37371  -58.85322        HIP_53253 0. 0.2 0. 360.
SEGMENT EX RADEC  163.49490   43.18999        HIP_53295 0. 0.2 0. 360.
SEGMENT EX RADEC  163.90346   24.74974        HIP_53417 0. 0.2 0. 360.
SEGMENT EX RADEC   17.14748  -10.18227         HIP_5364 0. 0.2 0. 360.
SEGMENT EX RADEC  165.03874  -42.22589        HIP_53773 0. 0.2 0. 360.
SEGMENT EX RADEC  165.58254   20.17986        HIP_53954 0. 0.2 0. 360.
SEGMENT EX RADEC  166.25442    7.33601        HIP_54182 0. 0.2 0. 360.
SEGMENT EX RADEC   17.37554   47.24183         HIP_5434 0. 0.2 0. 360.
SEGMENT EX RADEC  167.41601   44.49852        HIP_54539 0. 0.2 0. 360.
SEGMENT EX RADEC  167.91468  -22.82587        HIP_54682 0. 0.2 0. 360.
SEGMENT EX RADEC  169.16556   -3.65160        HIP_55084 0. 0.2 0. 360.
SEGMENT EX RADEC  169.61988   33.09433        HIP_55219 0. 0.2 0. 360.
SEGMENT EX RADEC  169.78306   38.18559        HIP_55266 0. 0.2 0. 360.
SEGMENT EX RADEC  169.83534  -14.77855        HIP_55282 0. 0.2 0. 360.
SEGMENT EX RADEC   17.77569   55.14995         HIP_5542 0. 0.2 0. 360.
SEGMENT EX RADEC  170.98120   10.52952        HIP_55642 0. 0.2 0. 360.
SEGMENT EX RADEC  171.22066  -17.68402        HIP_55705 0. 0.2 0. 360.
SEGMENT EX RADEC  173.25063  -31.85765        HIP_56343 0. 0.2 0. 360.
SEGMENT EX RADEC  173.69038  -54.26414        HIP_56480 0. 0.2 0. 360.
SEGMENT EX RADEC  174.17062   -9.80226        HIP_56633 0. 0.2 0. 360.
SEGMENT EX RADEC  175.05344  -34.74469        HIP_56922 0. 0.2 0. 360.
SEGMENT EX RADEC  176.51271   47.77945        HIP_57399 0. 0.2 0. 360.
SEGMENT EX RADEC  177.42125  -63.78853        HIP_57669 0. 0.2 0. 360.
SEGMENT EX RADEC  177.67398    1.76472        HIP_57757 0. 0.2 0. 360.
SEGMENT EX RADEC  177.96359  -65.20597        HIP_57851 0. 0.2 0. 360.
SEGMENT EX RADEC  178.22732  -33.90815        HIP_57936 0. 0.2 0. 360.
SEGMENT EX RADEC  179.90671  -78.22191        HIP_58484 0. 0.2 0. 360.
SEGMENT EX RADEC  180.21844    6.61433        HIP_58590 0. 0.2 0. 360.
SEGMENT EX RADEC  180.75641  -63.31298        HIP_58758 0. 0.2 0. 360.
SEGMENT EX RADEC  181.08022  -63.16576        HIP_58867 0. 0.2 0. 360.
SEGMENT EX RADEC   18.94235  -68.87599         HIP_5896 0. 0.2 0. 360.
SEGMENT EX RADEC  181.72057  -64.61378        HIP_59072 0. 0.2 0. 360.
SEGMENT EX RADEC  182.02192  -50.66132        HIP_59173 0. 0.2 0. 360.
SEGMENT EX RADEC  182.10356  -24.72890        HIP_59199 0. 0.2 0. 360.
SEGMENT EX RADEC  182.53132  -22.61979        HIP_59316 0. 0.2 0. 360.
SEGMENT EX RADEC  184.58692  -79.31231        HIP_60000 0. 0.2 0. 360.
SEGMENT EX RADEC  185.34020  -60.40120        HIP_60260 0. 0.2 0. 360.
SEGMENT EX RADEC  186.63249  -51.45068        HIP_60710 0. 0.2 0. 360.
SEGMENT EX RADEC  188.01777  -16.19602        HIP_61174 0. 0.2 0. 360.
SEGMENT EX RADEC  188.43576   41.35751        HIP_61317 0. 0.2 0. 360.
SEGMENT EX RADEC  188.71300   22.62928        HIP_61394 0. 0.2 0. 360.
SEGMENT EX RADEC  189.96903  -39.98734        HIP_61789 0. 0.2 0. 360.
SEGMENT EX RADEC   19.86666   27.26408         HIP_6193 0. 0.2 0. 360.
SEGMENT EX RADEC  190.47123   10.23563        HIP_61960 0. 0.2 0. 360.
SEGMENT EX RADEC  190.48586  -59.68587        HIP_61966 0. 0.2 0. 360.
SEGMENT EX RADEC  191.59481  -56.48886        HIP_62327 0. 0.2 0. 360.
SEGMENT EX RADEC  192.67169  -33.99933        HIP_62683 0. 0.2 0. 360.
SEGMENT EX RADEC  193.35933  -40.17891        HIP_62896 0. 0.2 0. 360.
SEGMENT EX RADEC  193.65386  -57.16872        HIP_63005 0. 0.2 0. 360.
SEGMENT EX RADEC  193.66342  -59.14675        HIP_63007 0. 0.2 0. 360.
SEGMENT EX RADEC  193.90103    3.39747        HIP_63090 0. 0.2 0. 360.
SEGMENT EX RADEC  195.56793  -71.54892        HIP_63613 0. 0.2 0. 360.
SEGMENT EX RADEC  195.88894  -49.52731        HIP_63724 0. 0.2 0. 360.
SEGMENT EX RADEC  196.56977  -48.46333        HIP_63945 0. 0.2 0. 360.
SEGMENT EX RADEC  196.72783  -49.90629        HIP_64004 0. 0.2 0. 360.
SEGMENT EX RADEC  197.48763   -5.53901        HIP_64238 0. 0.2 0. 360.
SEGMENT EX RADEC  197.49715   17.52945        HIP_64241 0. 0.2 0. 360.
SEGMENT EX RADEC  197.96847   27.87821        HIP_64394 0. 0.2 0. 360.
SEGMENT EX RADEC  198.07348  -59.92063        HIP_64425 0. 0.2 0. 360.
SEGMENT EX RADEC  198.81242  -67.89465        HIP_64661 0. 0.2 0. 360.
SEGMENT EX RADEC  200.65824  -60.98844        HIP_65271 0. 0.2 0. 360.
SEGMENT EX RADEC   21.00587   -8.18326         HIP_6537 0. 0.2 0. 360.
SEGMENT EX RADEC  201.30658   54.98800        HIP_65477 0. 0.2 0. 360.
SEGMENT EX RADEC  203.53322    3.65897        HIP_66200 0. 0.2 0. 360.
SEGMENT EX RADEC  203.61375   49.01601        HIP_66234 0. 0.2 0. 360.
SEGMENT EX RADEC  205.43672  -54.55947        HIP_66821 0. 0.2 0. 360.
SEGMENT EX RADEC  206.42203  -33.04375        HIP_67153 0. 0.2 0. 360.
SEGMENT EX RADEC  207.95684  -32.99412        HIP_67669 0. 0.2 0. 360.
SEGMENT EX RADEC  208.30242  -31.92764        HIP_67786 0. 0.2 0. 360.
SEGMENT EX RADEC  210.41182    1.54453        HIP_68520 0. 0.2 0. 360.
SEGMENT EX RADEC  210.43141  -45.60346        HIP_68523 0. 0.2 0. 360.
SEGMENT EX RADEC   22.09138  -43.31827         HIP_6867 0. 0.2 0. 360.
SEGMENT EX RADEC  211.51171  -41.17967        HIP_68862 0. 0.2 0. 360.
SEGMENT EX RADEC  211.59308  -26.68238        HIP_68895 0. 0.2 0. 360.
SEGMENT EX RADEC  213.06603    2.40943        HIP_69389 0. 0.2 0. 360.
SEGMENT EX RADEC  213.37105   51.79001        HIP_69483 0. 0.2 0. 360.
SEGMENT EX RADEC  213.73826  -57.08617        HIP_69618 0. 0.2 0. 360.
SEGMENT EX RADEC  214.00380   -6.00055        HIP_69701 0. 0.2 0. 360.
SEGMENT EX RADEC  214.04155   51.36727        HIP_69713 0. 0.2 0. 360.
SEGMENT EX RADEC  214.09609   46.08834        HIP_69732 0. 0.2 0. 360.
SEGMENT EX RADEC  214.77765  -13.37111        HIP_69974 0. 0.2 0. 360.
SEGMENT EX RADEC  215.08161  -56.38655        HIP_70069 0. 0.2 0. 360.
SEGMENT EX RADEC  215.13948  -37.88533        HIP_70090 0. 0.2 0. 360.
SEGMENT EX RADEC  215.59668  -80.10901        HIP_70248 0. 0.2 0. 360.
SEGMENT EX RADEC  215.75951  -39.51185        HIP_70300 0. 0.2 0. 360.
SEGMENT EX RADEC  215.84475    8.44662        HIP_70327 0. 0.2 0. 360.
SEGMENT EX RADEC  216.29933   51.85079        HIP_70497 0. 0.2 0. 360.
SEGMENT EX RADEC  216.53445  -45.22146        HIP_70574 0. 0.2 0. 360.
SEGMENT EX RADEC  216.54524  -45.37931        HIP_70576 0. 0.2 0. 360.
SEGMENT EX RADEC  217.04363  -29.49166        HIP_70753 0. 0.2 0. 360.
SEGMENT EX RADEC   22.81296  -49.07274         HIP_7083 0. 0.2 0. 360.
SEGMENT EX RADEC   22.87089   15.34584         HIP_7097 0. 0.2 0. 360.
SEGMENT EX RADEC  217.95764   30.37146        HIP_71053 0. 0.2 0. 360.
SEGMENT EX RADEC  218.15459  -50.45720        HIP_71121 0. 0.2 0. 360.
SEGMENT EX RADEC  218.67026   29.74516        HIP_71284 0. 0.2 0. 360.
SEGMENT EX RADEC  220.18171   16.41834        HIP_71762 0. 0.2 0. 360.
SEGMENT EX RADEC  220.76528   -5.65821        HIP_71957 0. 0.2 0. 360.
SEGMENT EX RADEC  221.24686  -35.19186        HIP_72104 0. 0.2 0. 360.
SEGMENT EX RADEC  222.90979  -43.57540        HIP_72683 0. 0.2 0. 360.
SEGMENT EX RADEC  223.21300  -37.80319        HIP_72800 0. 0.2 0. 360.
SEGMENT EX RADEC  224.29602   -4.34647        HIP_73165 0. 0.2 0. 360.
SEGMENT EX RADEC  225.24331   -8.51895        HIP_73473 0. 0.2 0. 360.
SEGMENT EX RADEC  225.48670   40.39060        HIP_73555 0. 0.2 0. 360.
SEGMENT EX RADEC  226.01776  -25.28199        HIP_73714 0. 0.2 0. 360.
SEGMENT EX RADEC  228.05557  -19.79173        HIP_74392 0. 0.2 0. 360.
SEGMENT EX RADEC  228.07142  -52.09929        HIP_74395 0. 0.2 0. 360.
SEGMENT EX RADEC  228.20681  -44.50045        HIP_74449 0. 0.2 0. 360.
SEGMENT EX RADEC  228.87587   33.31486        HIP_74666 0. 0.2 0. 360.
SEGMENT EX RADEC  229.23726  -60.95731        HIP_74778 0. 0.2 0. 360.
SEGMENT EX RADEC  229.37873  -58.80126        HIP_74824 0. 0.2 0. 360.
SEGMENT EX RADEC  229.63361  -47.87531        HIP_74911 0. 0.2 0. 360.
SEGMENT EX RADEC   24.19937   41.40549         HIP_7513 0. 0.2 0. 360.
SEGMENT EX RADEC  230.78915  -36.85852        HIP_75304 0. 0.2 0. 360.
SEGMENT EX RADEC  230.84455  -59.32084        HIP_75323 0. 0.2 0. 360.
SEGMENT EX RADEC  231.12281   37.37720        HIP_75411 0. 0.2 0. 360.
SEGMENT EX RADEC  231.23259   58.96612        HIP_75458 0. 0.2 0. 360.
SEGMENT EX RADEC  231.33444  -38.73365        HIP_75501 0. 0.2 0. 360.
SEGMENT EX RADEC   24.49817   48.62825         HIP_7607 0. 0.2 0. 360.
SEGMENT EX RADEC  233.23262   31.35916        HIP_76127 0. 0.2 0. 360.
SEGMENT EX RADEC  233.70081   10.53888        HIP_76276 0. 0.2 0. 360.
SEGMENT EX RADEC  233.88178  -14.78955        HIP_76333 0. 0.2 0. 360.
SEGMENT EX RADEC  233.97207  -44.95843        HIP_76371 0. 0.2 0. 360.
SEGMENT EX RADEC  234.25624  -28.13510        HIP_76470 0. 0.2 0. 360.
SEGMENT EX RADEC    2.35268  -45.74746          HIP_765 0. 0.2 0. 360.
SEGMENT EX RADEC  234.84467   36.63584        HIP_76669 0. 0.2 0. 360.
SEGMENT EX RADEC  235.38793   19.67042        HIP_76852 0. 0.2 0. 360.
SEGMENT EX RADEC  235.67112  -34.71044        HIP_76945 0. 0.2 0. 360.
SEGMENT EX RADEC  236.01486   77.79456        HIP_77055 0. 0.2 0. 360.
SEGMENT EX RADEC  237.74497  -25.75132        HIP_77635 0. 0.2 0. 360.
SEGMENT EX RADEC  238.40320  -25.32716        HIP_77840 0. 0.2 0. 360.
SEGMENT EX RADEC  239.11346   15.66163        HIP_78072 0. 0.2 0. 360.
SEGMENT EX RADEC   25.14509   40.57708         HIP_7818 0. 0.2 0. 360.
SEGMENT EX RADEC  239.54757  -14.27937        HIP_78207 0. 0.2 0. 360.
SEGMENT EX RADEC  240.36089   29.85109        HIP_78493 0. 0.2 0. 360.
SEGMENT EX RADEC  240.47248   58.56530        HIP_78527 0. 0.2 0. 360.
SEGMENT EX RADEC  240.57392   22.80447        HIP_78554 0. 0.2 0. 360.
SEGMENT EX RADEC  240.69978   46.03674        HIP_78592 0. 0.2 0. 360.
SEGMENT EX RADEC  240.85099  -38.60257        HIP_78655 0. 0.2 0. 360.
SEGMENT EX RADEC  240.88392  -57.77511        HIP_78662 0. 0.2 0. 360.
SEGMENT EX RADEC  241.36084  -19.80188        HIP_78821 0. 0.2 0. 360.
SEGMENT EX RADEC  241.62286  -45.17322        HIP_78914 0. 0.2 0. 360.
SEGMENT EX RADEC  241.64831  -36.80232        HIP_78918 0. 0.2 0. 360.
SEGMENT EX RADEC  242.19261   44.93494        HIP_79101 0. 0.2 0. 360.
SEGMENT EX RADEC  242.99910  -19.46072        HIP_79374 0. 0.2 0. 360.
SEGMENT EX RADEC  243.07606  -27.92640        HIP_79404 0. 0.2 0. 360.
SEGMENT EX RADEC  243.58662   -3.69433        HIP_79593 0. 0.2 0. 360.
SEGMENT EX RADEC  243.85967  -63.68574        HIP_79664 0. 0.2 0. 360.
SEGMENT EX RADEC  244.57478  -28.61404        HIP_79881 0. 0.2 0. 360.
SEGMENT EX RADEC  244.58058   -4.69251        HIP_79882 0. 0.2 0. 360.
SEGMENT EX RADEC  245.48027   19.15315        HIP_80170 0. 0.2 0. 360.
SEGMENT EX RADEC  246.35418   14.03328        HIP_80463 0. 0.2 0. 360.
SEGMENT EX RADEC  246.39653  -23.44720        HIP_80473 0. 0.2 0. 360.
SEGMENT EX RADEC  246.75619  -18.45627        HIP_80569 0. 0.2 0. 360.
SEGMENT EX RADEC  246.79619  -47.55483        HIP_80582 0. 0.2 0. 360.
SEGMENT EX RADEC  246.95099   -8.37174        HIP_80628 0. 0.2 0. 360.
SEGMENT EX RADEC  246.99610   68.76820        HIP_80650 0. 0.2 0. 360.
SEGMENT EX RADEC  247.55219  -25.11525        HIP_80815 0. 0.2 0. 360.
SEGMENT EX RADEC  247.84576  -34.70440        HIP_80911 0. 0.2 0. 360.
SEGMENT EX RADEC  248.03437  -21.46641        HIP_80975 0. 0.2 0. 360.
SEGMENT EX RADEC   26.01703  -15.93749         HIP_8102 0. 0.2 0. 360.
SEGMENT EX RADEC  248.36306  -78.89721        HIP_81065 0. 0.2 0. 360.
SEGMENT EX RADEC  248.52113  -44.04535        HIP_81122 0. 0.2 0. 360.
SEGMENT EX RADEC  248.52597   42.43708        HIP_81126 0. 0.2 0. 360.
SEGMENT EX RADEC  250.72423   38.92229        HIP_81833 0. 0.2 0. 360.
SEGMENT EX RADEC  252.30946   45.98336        HIP_82321 0. 0.2 0. 360.
SEGMENT EX RADEC  253.50218   10.16537        HIP_82673 0. 0.2 0. 360.
SEGMENT EX RADEC  254.41729    9.37504        HIP_83000 0. 0.2 0. 360.
SEGMENT EX RADEC  254.65526  -55.99019        HIP_83081 0. 0.2 0. 360.
SEGMENT EX RADEC  255.46956  -32.14355        HIP_83336 0. 0.2 0. 360.
SEGMENT EX RADEC  258.76203   36.80919        HIP_84380 0. 0.2 0. 360.
SEGMENT EX RADEC  259.33175   33.10013        HIP_84573 0. 0.2 0. 360.
SEGMENT EX RADEC  259.41795   37.29153        HIP_84606 0. 0.2 0. 360.
SEGMENT EX RADEC  260.20714  -12.84689        HIP_84880 0. 0.2 0. 360.
SEGMENT EX RADEC  260.25178  -21.11295        HIP_84893 0. 0.2 0. 360.
SEGMENT EX RADEC   27.39628  -10.68642         HIP_8497 0. 0.2 0. 360.
SEGMENT EX RADEC  260.92082   37.14598        HIP_85112 0. 0.2 0. 360.
SEGMENT EX RADEC  261.32517  -55.52993        HIP_85258 0. 0.2 0. 360.
SEGMENT EX RADEC  261.59279  -24.17533        HIP_85340 0. 0.2 0. 360.
SEGMENT EX RADEC  261.65806   -5.08660        HIP_85365 0. 0.2 0. 360.
SEGMENT EX RADEC  261.83886  -29.86706        HIP_85423 0. 0.2 0. 360.
SEGMENT EX RADEC  262.85420  -23.96266        HIP_85755 0. 0.2 0. 360.
