# Excluded regions file: 
# hipparcos stars brighter than 5th magnitude:
# -------------------------

# Shapes: BOX or SEGMENT
# types: ON, OFF or EX
# Sys: RADEC or GAL 
# BOX Geometry: width  length
# SEGMENT Geometry: r1 r2 phi1 phi1

#==========================================================================
# Shape Type Sys lambda   beta         Name             Geometry...
#==========================================================================

SEGMENT EX RADEC  200.14941  -36.71233        HIP_65109 0. 0.2 0. 360.
SEGMENT EX RADEC  200.98160   54.92541        HIP_65378 0. 0.2 0. 360.
SEGMENT EX RADEC  201.29842  -11.16133        HIP_65474 0. 0.2 0. 360.
SEGMENT EX RADEC  203.67347   -0.59582        HIP_66249 0. 0.2 0. 360.
SEGMENT EX RADEC  204.97208  -53.46644        HIP_66657 0. 0.2 0. 360.
SEGMENT EX RADEC   21.45399   60.23533         HIP_6686 0. 0.2 0. 360.
SEGMENT EX RADEC  206.88533   49.31331        HIP_67301 0. 0.2 0. 360.
SEGMENT EX RADEC  207.37633  -41.68774        HIP_67464 0. 0.2 0. 360.
SEGMENT EX RADEC  207.40430  -42.47377        HIP_67472 0. 0.2 0. 360.
SEGMENT EX RADEC    2.09691   29.09046          HIP_677 0. 0.2 0. 360.
SEGMENT EX RADEC  208.67134   18.39773        HIP_67927 0. 0.2 0. 360.
SEGMENT EX RADEC  208.88512  -47.28842        HIP_68002 0. 0.2 0. 360.
SEGMENT EX RADEC  209.56795  -42.10079        HIP_68245 0. 0.2 0. 360.
SEGMENT EX RADEC  209.66996  -44.80362        HIP_68282 0. 0.2 0. 360.
SEGMENT EX RADEC  210.95603  -60.37309        HIP_68702 0. 0.2 0. 360.
SEGMENT EX RADEC  211.09747   64.37590        HIP_68756 0. 0.2 0. 360.
SEGMENT EX RADEC  211.67080  -36.36999        HIP_68933 0. 0.2 0. 360.
SEGMENT EX RADEC  213.91548   19.18243        HIP_69673 0. 0.2 0. 360.
SEGMENT EX RADEC  214.85111  -46.05813        HIP_69996 0. 0.2 0. 360.
SEGMENT EX RADEC  218.01965   38.30828        HIP_71075 0. 0.2 0. 360.
SEGMENT EX RADEC  218.87695  -42.15786        HIP_71352 0. 0.2 0. 360.
