fk5;circle(209.079,-64.4646,0.55) # text=HESSJ1356-645
fk5;circle(283.21,0.96354,0.65) # text=HESSJ1852+000HS2
fk5;circle(273.366,-16.5075,0.35) # text=HOTJ1820-165
fk5;circle(244.1,-50.9,0.65) # text=HESSJ1616-508
fk5;circle(267.91,-26.9921,0.55) # text=NEWHOT8
fk5;circle(267.577,-27.4095,0.4) # text=NEWHOT9
fk5;circle(278.13,-8.45883,0.39) # text=NEWHOT6
fk5;circle(277.903,-9.76541,0.43) # text=NEWHOT7
fk5;circle(284.427,1.1786,0.31) # text=NEWHOT4
fk5;circle(281.77,-2.4923,0.38) # text=NEWHOT5
fk5;circle(290.763,14.1773,0.42) # text=NEWHOT2
fk5;circle(287.79,9.08879,0.36) # text=NEWHOT3
fk5;circle(295.976,21.3134,0.36) # text=NEWHOT1
fk5;circle(248.74,-47.27,0.85) # text=HESSJ1634-472
fk5;circle(281.66,-1.26,0.5) # text=HESSJ1869-012
fk5;circle(261.707,-34.9959,0.35) # text=HOTJ1740-349
fk5;circle(245.157,-50.78,0.35) # text=HESSJ1630-507
fk5;circle(214.51,-60.97,0.45) # text=HESSJ1418-609
fk5;circle(259.53,-38.56,0.45) # text=HESSJ1718-385
fk5;circle(269.34,-24.12,0.6) # text=HESSJ1757-241
fk5;circle(281.288,-6.59086,0.35) # text=HOTJ1867-065
fk5;circle(227.795,-57.8,0.75) # text=HESSJ1511-578
fk5;circle(278.374,-10.5806,0.35) # text=HESSJ1833-105
fk5;circle(266.95,-24.775,0.45) # text=HESSJ1747-248
fk5;circle(195.752,-63.1986,0.85) # text=HESSJ1303-631
fk5;circle(273.041,-19.1587,1) # text=HESSJ1809-193(b)
fk5;circle(264.204,-27.006,0.35) # text=HOTJ1755-270
fk5;circle(253.38,-43.8336,0.45) # text=NEWHOT14
fk5;circle(286.646,6.98377,0.65) # text=HESSJ1909+069
fk5;circle(238.74,-55.03,0.35) # text=HESSJ1554-550
fk5;circle(268.498,-29.2494,0.35) # text=HOTJ1780-292
fk5;circle(250.18,-46.53,0.55) # text=HESSJ1640-465
fk5;circle(284.893,3.30537,0.35) # text=HOTJ1889+033
fk5;circle(273.731,-18.5558,1) # text=HOTJ1822-185
fk5;circle(243.58,-51.82,0.55) # text=HESSJ1614-518
fk5;circle(195.705,-63.834,0.45) # text=HESSJ1302-638
fk5;circle(128.75,-45.6,1.05) # text=HESSJ0835-455
fk5;circle(282.59,-0.356,0.45) # text=HESSJ1875-003
fk5;circle(276.563,-14.8482,0.4) # text=LS5039
fk5;circle(278.185,-9.29446,0.35) # text=HESSJ1834-087(b)
